symbol,timestamp,reason
WIPRO,2026-08-28 12:20:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-28 12:35:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-28 12:40:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-28 12:45:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-28 12:50:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-28 13:05:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-28 13:10:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-28 13:30:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-28 13:55:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-28 14:10:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-28 14:20:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-28 14:30:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-28 14:45:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-28 14:50:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-28 14:55:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-28 15:00:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-28 15:05:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-28 15:10:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-31 10:15:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-31 10:40:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-31 11:05:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-31 11:50:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-31 12:50:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-31 12:55:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-31 13:25:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-31 14:10:00+05:30,DAILY_LOSS_LIMIT
